dataset_id,scenario,n_clusters,cluster_sizes,contraction_factor,overlap_ratio,pairwise_overlap_ratios,full_pairwise_overlap,overlap_graph_connected,silhouette_score,davies_bouldin_index,minimum_gamma_eigenvalue,maximum_spd_shift
params_K1_homogeneous,homogeneous,1,10,1.0,,{},,,,,1.0000000000999993,0.13441332369962422
params_K2_separated,separated,2,5/5,1.0,0.22502730426374504,"{""0-1"": 0.22502730426374504}",False,False,0.8685458564376095,0.19193694844958395,1.0000000000999991,0.15275993144336608
params_K2_overlapping,overlapping,2,5/5,0.2,1.1365483388085567,"{""0-1"": 1.1365483388085567}",True,True,0.4849179718101223,0.8742097105564633,1.3096136924227901,0.0
params_K3_separated,separated,3,4/3/3,1.0,0.3043459592373447,"{""0-1"": 0.2358181560567406, ""0-2"": 0.23998848973754314, ""1-2"": 0.3043459592373447}",False,False,0.8522020820580369,0.23932473051351852,1.0000000000999996,0.16368208619428037
params_K3_overlapping,overlapping,3,4/3/3,0.2,1.6275990466981676,"{""0-1"": 1.1300010135998766, ""0-2"": 1.4679157053107559, ""1-2"": 1.6275990466981676}",True,True,0.3558048329742549,1.2973729503423606,1.5280633407467272,0.0
